Weight,Height,BMI,Age,Gender,BMIcase,ActivityLevel,Goal,Calories,Protein,Carb,Fat
92.0851902,1.760249514,29.71948799,59,Female,Obese,,,,,,
61.08912444,1.595498708,23.99777555,25,Female,Overweight,,,,,,
82.45403663,1.816538313,24.98749946,50,Female,Overweight,,,,,,
101.7133061,1.790696455,31.72004707,62,Female,Obese,,,,,,
99.60952716,1.969725632,25.67375577,57,Male,Overweight,,,,,,
99.04124818,1.85277777,28.85156942,46,Male,Obese,,,,,,
62.34733665,1.543259314,26.17821875,35,Female,Overweight,,,,,,
89.72590622,1.825479895,26.92549802,24,Male,Overweight,,,,,,
62.03876908,1.475992191,28.4770536,19,Female,Obese,,,,,,
67.67561247,1.536075421,28.681847,38,Female,Obese,,,,,,
107.9969223,1.945391442,28.53628126,34,Male,Obese,,,,,,
82.82628328,1.961906803,21.5184719,22,Male,Normal,,,,,,
70.47653237,1.434502995,34.24850424,65,Female,Severe Obese,,,,,,
73.34722538,1.846975337,21.50114051,46,Male,Normal,,,,,,
83.73327444,1.619256312,31.93499686,32,Female,Obese,,,,,,
81.76374638,1.674849421,29.14803267,55,Female,Obese,,,,,,
78.62034191,1.908509199,21.58471968,48,Male,Normal,,,,,,
107.5938459,1.755071327,34.92994398,37,Female,Severe Obese,,,,,,
92.79091692,1.823244974,27.91357208,35,Female,Obese,,,,,,
79.39268874,1.568532782,32.26957981,52,Female,Obese,,,,,,
79.17277465,1.768747111,25.30721636,27,Male,Overweight,,,,,,
90.94434371,1.781180629,28.66551616,23,Male,Obese,,,,,,
103.9980384,1.816384463,31.52169705,54,Female,Obese,,,,,,
70.92278162,1.667450657,25.50819792,44,Female,Overweight,,,,,,
95.54377863,1.682288501,33.75992399,42,Female,Severe Obese,,,,,,
93.46357429,1.714944219,31.77915817,40,Female,Obese,,,,,,
75.53521253,1.65907713,27.44203426,46,Female,Overweight,,,,,,
75.85228737,1.930448666,20.35411232,43,Male,Normal,,,,,,
90.16907158,1.728364392,30.18470789,49,Male,Obese,,,,,,
95.9933866,1.742054965,31.63134115,64,Male,Obese,,,,,,
85.85827471,1.90853916,23.57110848,41,Male,Overweight,,,,,,
97.39804516,1.945866432,25.72315223,27,Male,Overweight,,,,,,
69.95417071,1.463939207,32.64130609,41,Female,Severe Obese,,,,,,
106.7150373,1.796820539,33.05340567,52,Male,Severe Obese,,,,,,
55.68302491,1.47909257,25.45259745,45,Female,Overweight,,,,,,
65.54053725,1.564827996,26.76558761,54,Female,Overweight,,,,,,
83.51422702,1.618686983,31.87386416,38,Female,Obese,,,,,,
95.86073217,1.796111304,29.7148984,36,Female,Obese,,,,,,
71.56513974,1.50112821,31.75893647,61,Female,Obese,,,,,,
50.23352307,1.803427982,15.44528869,58,Male,Severe Thinness,,,,,,
63.52949118,1.827001938,19.03256673,41,Female,Normal,,,,,,
58.13286102,1.829761919,17.36331034,65,Female,Moderate Thinness,,,,,,
74.61466629,1.750529237,24.34924298,55,Male,Overweight,,,,,,
89.71598685,1.610488223,34.59033211,46,Female,Severe Obese,,,,,,
90.24667177,1.648706016,33.20050955,65,Female,Severe Obese,,,,,,
96.29567103,1.815337095,29.22080658,42,Male,Obese,,,,,,
63.04900538,1.627109073,23.81468855,27,Female,Overweight,,,,,,
75.13442246,1.610962039,28.95131795,56,Female,Obese,,,,,,
54.43046228,1.401962832,27.6929373,22,Female,Obese,,,,,,
67.96557741,1.799178375,20.99619347,29,Male,Normal,,,,,,
72.87722611,1.8142565,22.14085862,49,Male,Normal,,,,,,
100.4386578,1.797675795,31.07979594,32,Female,Obese,,,,,,
68.95487349,1.647120303,25.41641689,40,Female,Overweight,,,,,,
59.73373271,1.910820192,16.35987611,54,Male,Mild Thinness,,,,,,
86.127112,1.668091532,30.95281339,38,Female,Obese,,,,,,
